name,email,customer_id,customer_name,financial_status,fulfillment_status,accepts_marketing,currency,subtotal,shipping,taxes,total,discount_code,discount_amount,shipping_method,created_at,lineitem_quantity,lineitem_name,lineitem_price,lineitem_sku,lineitem_discount,billing_city,billing_province,billing_country,shipping_city,shipping_province,shipping_country,payment_method,refunded_amount,vendor,risk_level,source
#44050030264367,customer_022@example.com,22,Customer 022,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 19:10:36 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050019254319,customer_023@example.com,23,Customer 023,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 19:04:31 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050002968623,customer_024@example.com,24,Customer 024,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 18:56:34 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049921474607,customer_025@example.com,25,Customer 025,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 18:18:34 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049799839791,customer_026@example.com,26,Customer 026,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 17:24:05 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049767235631,customer_027@example.com,27,Customer 027,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 17:10:03 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049638064175,customer_028@example.com,28,Customer 028,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 16:16:02 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049610571823,customer_029@example.com,29,Customer 029,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 16:05:06 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049583603759,customer_030@example.com,30,Customer 030,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 15:53:33 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049523081263,customer_031@example.com,31,Customer 031,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 15:30:33 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049474453551,customer_032@example.com,32,Customer 032,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 15:11:38 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049398693935,customer_033@example.com,33,Customer 033,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 14:43:32 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049230495791,customer_034@example.com,34,Customer 034,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 13:44:04 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44049082646575,customer_035@example.com,35,Customer 035,,unfulfilled,yes,USD,6.99,0.0,0.49,7.48,,0.0,,2025-07-28 12:54:39 -0400,1,Dwellings of Eldervale - Oracle Hex Tile,6.99,BGZ115833,0,villa rica,GA,US,,,,,,Breaking Games,Low,web
#44048805560367,customer_036@example.com,36,Customer 036,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 11:09:37 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44048739467311,customer_037@example.com,37,Customer 037,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 10:42:38 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44048104554543,customer_038@example.com,38,Customer 038,,unfulfilled,yes,USD,25.0,17.67,0.0,42.67,,0.0,Under 4lbs Fully Tracked,2025-07-28 04:59:34 -0400,1,Mansplaining | Family Party Card Game | 2+ Players,25.0,BGZ116250,0,Berlin,,DE,Berlin,,DE,,,Breaking Games,Low,web
#44047838019631,customer_039@example.com,39,Customer 039,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 01:48:03 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44047323037743,customer_040@example.com,40,Customer 040,,unfulfilled,yes,USD,106.96,24.38,0.0,131.34,,0.0,FedEx International Connect Plus®,2025-07-28 00:10:32 -0400,1,Dwellings of Eldervale - Wooden Upgrade Treasure and Trove Tokens,19.99,BGZ115354,0,Puebla,PUE,MX,Puebla,PUE,MX,,,Breaking Games,Low,web
#44047323037743,customer_040@example.com,40,Customer 040,,,,,,,,,,,,2025-07-28 00:10:32 -0400,1,Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,9.99,BGZ115834,0,,,,,,,,,Breaking Games,,
#44047323037743,customer_040@example.com,40,Customer 040,,,,,,,,,,,,2025-07-28 00:10:32 -0400,1,Dwellings of Eldervale - Oracle Hex Tile,6.99,BGZ115833,0,,,,,,,,,Breaking Games,,
#44047323037743,customer_040@example.com,40,Customer 040,,,,,,,,,,,,2025-07-28 00:10:32 -0400,1,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,BGZ115836,0,,,,,,,,,Breaking Games,,
#44047600222255,customer_041@example.com,41,Customer 041,,unfulfilled,yes,USD,99.99,0.0,6.0,105.99,,0.0,Standard,2025-07-27 23:13:38 -0400,1,Dwellings of Eldervale 2nd Edition: Standard,99.99,BGZ115837,0,Piedmont,SC,US,Piedmont,SC,US,,,Breaking Games,Low,web
#44045974732847,customer_042@example.com,42,Customer 042,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-27 10:59:33 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44045807583279,customer_043@example.com,43,Customer 043,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-27 09:45:08 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44045787398191,customer_044@example.com,44,Customer 044,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-27 09:35:09 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44045759447087,customer_045@example.com,45,Customer 045,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-27 09:22:09 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44045565460527,customer_046@example.com,46,Customer 046,,unfulfilled,yes,USD,54.99,22.41,0.0,77.4,,0.0,Under 4lbs Fully Tracked,2025-07-27 07:43:03 -0400,1,We're Doomed: Meritocracy Expansion Pack | Party Game | 4-12 Players,19.99,BGZ117683,0,Ladenburg,,DE,Ladenburg,,DE,,,Breaking Games,Low,web
#44045565460527,customer_046@example.com,46,Customer 046,,,,,,,,,,,,2025-07-27 07:43:03 -0400,1,We're Doomed!,35.0,BGZ110345,0,,,,,,,,,Breaking Games,,
#44045408763951,customer_047@example.com,47,Customer 047,,unfulfilled,yes,USD,6.99,0.0,0.49,7.48,,0.0,,2025-07-27 06:03:08 -0400,1,Dwellings of Eldervale - Oracle Hex Tile,6.99,BGZ115833,0,villa rica,GA,US,,,,,,Breaking Games,Low,web
#44044248383535,customer_048@example.com,48,Customer 048,,unfulfilled,yes,USD,58.5,22.81,0.0,81.31,WELCOME10,6.5,FedEx International Connect Plus®,2025-07-26 17:34:36 -0400,1,Trellis,25.0,BGZ110039,0,Calgary,AB,CA,Calgary,AB,CA,,,Breaking Games,Low,web
#44044248383535,customer_048@example.com,48,Customer 048,,,,,,,,,,,,2025-07-26 17:34:36 -0400,2,MIXTAPE,20.0,BGZ110347,0,,,,,,,,,Breaking Games,,
#44041266069551,customer_049@example.com,49,Customer 049,,unfulfilled,yes,USD,19.99,9.92,0.0,29.91,,0.0,Under 4lbs Fully Tracked,2025-07-25 15:24:32 -0400,1,Dwellings of Eldervale - Wooden Upgrade Treasure and Trove Tokens,19.99,BGZ115354,0,Nam-gu,KR-29,KR,Nam-gu,KR-29,KR,,,Breaking Games,Low,web
#44039305429039,customer_050@example.com,50,Customer 050,,unfulfilled,yes,USD,80.99,29.42,0.0,110.41,WELCOME10,8.99,Under 4lbs Fully Tracked,2025-07-24 21:54:04 -0400,1,Dwellings of Eldervale - Wooden Upgrade Treasure and Trove Tokens,19.99,BGZ115354,0,Gimpo-si,KR-41,KR,Gimpo-si,KR-41,KR,Shopify Payments,,Breaking Games,Low,web
#44039305429039,customer_050@example.com,50,Customer 050,,,,,,,,,,,,2025-07-24 21:54:04 -0400,1,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,BGZ115836,0,,,,,,,,,Breaking Games,,
#44038126403631,customer_051@example.com,51,Customer 051,,unfulfilled,yes,USD,19.98,9.06,0.0,29.04,,0.0,Under 4lbs Fully Tracked,2025-07-24 13:07:36 -0400,1,Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,9.99,BGZ115834,0,Mennecy,,FR,Mennecy,,FR,,,Breaking Games,Low,web
#44038126403631,customer_051@example.com,51,Customer 051,,,,,,,,,,,,2025-07-24 13:07:36 -0400,1,Dwellings of Eldervale - Minotaur Mercenary Mini Expansion,9.99,BGZ115360,0,,,,,,,,,Breaking Games,,
#44037034573871,customer_052@example.com,52,Customer 052,,unfulfilled,yes,USD,75.0,0.0,6.85,81.85,,0.0,Standard,2025-07-24 03:05:35 -0400,2,Trellis,25.0,BGZ110039,0,Mountain View,CA,US,Mountain View,CA,US,,,Breaking Games,Low,web
#44037034573871,customer_052@example.com,52,Customer 052,,,,,,,,,,,,2025-07-24 03:05:35 -0400,1,Something Wicked,25.0,BGZ110026,0,,,,,,,,,Breaking Games,,
#44036009656367,customer_053@example.com,53,Customer 053,,unfulfilled,yes,USD,60.0,0.0,4.65,64.65,,0.0,Standard,2025-07-23 17:00:20 -0400,1,Expancity | Family Strategy City Building Game | 2-4 Players,60.0,BGZ110192,0,Folsom,CA,US,Folsom,CA,US,,,Breaking Games,Low,web
#44034744385583,customer_054@example.com,54,Customer 054,,unfulfilled,yes,USD,6.99,0.0,0.49,7.48,,0.0,,2025-07-23 06:39:31 -0400,1,Rise of Tribes: The Mesa Hex Tile (Base Game Required),6.99,BGZ110793,0,villa rica,GA,US,,,,,,Breaking Games,Low,web
#44034448883759,customer_055@example.com,55,Customer 055,,unfulfilled,yes,USD,169.98,99.32,0.0,269.3,,0.0,FedEx International Connect Plus®,2025-07-23 03:06:01 -0400,1,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,BGZ115836,0,Jakarta Utara,JK,ID,Jakarta Utara,JK,ID,,,Breaking Games,Low,web
#44034448883759,customer_055@example.com,55,Customer 055,,,,,,,,,,,,2025-07-23 03:06:01 -0400,1,Dwellings of Eldervale 2nd Edition: Standard,99.99,BGZ115837,0,,,,,,,,,Breaking Games,,
#44033233027119,customer_056@example.com,56,Customer 056,,unfulfilled,yes,USD,35.0,0.0,2.17,37.17,,0.0,Standard,2025-07-22 15:48:06 -0400,1,We're Doomed!,35.0,BGZ110345,0,Brookings,SD,US,Brookings,SD,US,,,Breaking Games,Low,web
#44028784574511,customer_057@example.com,57,Customer 057,,unfulfilled,yes,USD,6.99,8.97,0.0,15.96,,0.0,Under 4lbs Fully Tracked,2025-07-20 22:55:10 -0400,1,Dwellings of Eldervale - Oracle Hex Tile,6.99,BGZ115833,0,Montréal,QC,CA,Montréal,QC,CA,,,Breaking Games,Low,web
#44028388442159,customer_058@example.com,58,Customer 058,,unfulfilled,no,USD,18.0,6.96,0.0,24.96,WELCOME10,2.0,USPS Ground Advantage,2025-07-20 19:11:08 -0400,1,MIXTAPE,20.0,BGZ110347,0,Middletown,DE,US,Middletown,DE,US,,,Breaking Games,Low,web
#44020850982959,customer_059@example.com,59,Customer 059,,unfulfilled,yes,USD,106.96,33.76,0.0,140.72,,0.0,FedEx International Connect Plus®,2025-07-17 22:40:01 -0400,1,Dwellings of Eldervale - Wooden Upgrade Treasure and Trove Tokens,19.99,BGZ115354,0,Forest Lake,QLD,AU,Forest Lake,QLD,AU,,,Breaking Games,Low,web
#44020850982959,customer_059@example.com,59,Customer 059,,,,,,,,,,,,2025-07-17 22:40:01 -0400,1,Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,9.99,BGZ115834,0,,,,,,,,,Breaking Games,,
#44020850982959,customer_059@example.com,59,Customer 059,,,,,,,,,,,,2025-07-17 22:40:01 -0400,1,Dwellings of Eldervale - Oracle Hex Tile,6.99,BGZ115833,0,,,,,,,,,Breaking Games,,
#44020850982959,customer_059@example.com,59,Customer 059,,,,,,,,,,,,2025-07-17 22:40:01 -0400,1,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,BGZ115836,0,,,,,,,,,Breaking Games,,
#44020029980719,customer_060@example.com,60,Customer 060,,unfulfilled,yes,USD,89.99,0.0,5.62,95.61,WELCOME10,10.0,Standard,2025-07-17 15:50:07 -0400,1,Dwellings of Eldervale 2nd Edition: Standard,99.99,BGZ115837,0,Danvers,MA,US,Danvers,MA,US,,,Breaking Games,Low,web
#44019644694575,customer_061@example.com,61,Customer 061,,unfulfilled,no,USD,35.0,17.43,0.0,52.43,,0.0,Under 4lbs Fully Tracked,2025-07-17 12:58:03 -0400,1,We're Doomed!,35.0,BGZ110345,0,Abingdon,ENG,GB,Abingdon,ENG,GB,,,Breaking Games,Low,web
#44019121553455,customer_062@example.com,62,Customer 062,,unfulfilled,yes,USD,69.99,29.3,0.0,99.29,,0.0,Under 4lbs Fully Tracked,2025-07-17 08:57:06 -0400,1,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,BGZ115836,0,Barcelona,B,ES,Barcelona,B,ES,,,Breaking Games,Low,web
#44018929205295,customer_063@example.com,63,Customer 063,,unfulfilled,yes,USD,96.96,21.9,0.0,118.86,,0.0,Under 4lbs Fully Tracked,2025-07-17 07:00:36 -0400,1,Dwellings of Eldervale - Oracle Hex Tile,6.99,BGZ115833,0,Königswinter,,DE,Königswinter,,DE,,,Breaking Games,Low,web
#44018929205295,customer_063@example.com,63,Customer 063,,,,,,,,,,,,2025-07-17 07:00:36 -0400,1,Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,9.99,BGZ115834,0,,,,,,,,,Breaking Games,,
#44018929205295,customer_063@example.com,63,Customer 063,,,,,,,,,,,,2025-07-17 07:00:36 -0400,1,Dwellings of Eldervale - Minotaur Mercenary Mini Expansion,9.99,BGZ115360,0,,,,,,,,,Breaking Games,,
#44018929205295,customer_063@example.com,63,Customer 063,,,,,,,,,,,,2025-07-17 07:00:36 -0400,1,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,BGZ115836,0,,,,,,,,,Breaking Games,,
#44017988861999,customer_064@example.com,64,Customer 064,,unfulfilled,yes,USD,96.96,33.82,0.0,130.78,,0.0,FedEx International Connect Plus®,2025-07-16 21:02:33 -0400,1,Dwellings of Eldervale - Minotaur Mercenary Mini Expansion,9.99,BGZ115360,0,Glendenning,NSW,AU,Glendenning,NSW,AU,,,Breaking Games,Low,web
#44017988861999,customer_064@example.com,64,Customer 064,,,,,,,,,,,,2025-07-16 21:02:33 -0400,1,Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,9.99,BGZ115834,0,,,,,,,,,Breaking Games,,
#44017988861999,customer_064@example.com,64,Customer 064,,,,,,,,,,,,2025-07-16 21:02:33 -0400,1,Dwellings of Eldervale - Oracle Hex Tile,6.99,BGZ115833,0,,,,,,,,,Breaking Games,,
#44017988861999,customer_064@example.com,64,Customer 064,,,,,,,,,,,,2025-07-16 21:02:33 -0400,1,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,BGZ115836,0,,,,,,,,,Breaking Games,,
#44016902864943,customer_065@example.com,65,Customer 065,,unfulfilled,no,USD,20.0,6.96,2.27,29.23,,0.0,USPS Ground Advantage,2025-07-16 12:10:03 -0400,1,The Mandela Effect Game,10.0,BGZ110764,0,Ossining,NY,US,Ossining,NY,US,,,Breaking Games,Low,web
#44016902864943,customer_065@example.com,65,Customer 065,,,,,,,,,,,,2025-07-16 12:10:03 -0400,1,Stripes | Family-Friendly Pattern Recognition Card Games | 2-6 Players,10.0,BGZ110339,0,,,,,,,,,Breaking Games,,
#44014942683183,customer_066@example.com,66,Customer 066,,unfulfilled,no,USD,35.0,17.95,0.0,52.95,,0.0,Under 4lbs Fully Tracked,2025-07-15 17:19:01 -0400,1,We're Doomed!,35.0,BGZ110345,0,Regensburg,,DE,Regensburg,,DE,,,Breaking Games,Low,web
#44013338066991,customer_067@example.com,67,Customer 067,,unfulfilled,yes,USD,31.0,11.2,2.41,44.61,,0.0,USPS Ground Advantage,2025-07-15 02:51:36 -0400,1,Sparkle*Kitty: Team Tokens Pack Expansion,5.0,BGZ110720,0,Folsom,CA,US,Rancho Cordova,CA,US,,,Breaking Games,Low,web
#44013338066991,customer_067@example.com,67,Customer 067,,,,,,,,,,,,2025-07-15 02:51:36 -0400,1,Sparkle*Kitty Adventure Pack Expansion,8.0,BGZ110354,0,,,,,,,,,Breaking Games,,
#44013338066991,customer_067@example.com,67,Customer 067,,,,,,,,,,,,2025-07-15 02:51:36 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,,
#44013338066991,customer_067@example.com,67,Customer 067,,,,,,,,,,,,2025-07-15 02:51:36 -0400,1,Sparkle*Kitty: Blank Words Pack Expansion,8.0,BGZ110719,0,,,,,,,,,Breaking Games,,
#44013338066991,customer_067@example.com,67,Customer 067,,,,,,,,,,,,2025-07-15 02:51:36 -0400,1,Sparkle*Kitty Quantum Pack,8.0,BGZ110718,0,,,,,,,,,Breaking Games,,
#44013169115183,customer_068@example.com,68,Customer 068,,unfulfilled,yes,USD,105.25,0.0,7.0,112.25,WELCOME10,11.7,Standard,2025-07-15 00:50:03 -0400,1,Dwellings of Eldervale - LEGENDARY Upgrade Kit,69.99,BGZ115836,0,Johnstown,CO,US,Johnstown,CO,US,,,Breaking Games,Low,web
#44013169115183,customer_068@example.com,68,Customer 068,,,,,,,,,,,,2025-07-15 00:50:03 -0400,1,Dwellings of Eldervale - Wooden Upgrade Treasure and Trove Tokens,19.99,BGZ115354,0,,,,,,,,,Breaking Games,,
#44013169115183,customer_068@example.com,68,Customer 068,,,,,,,,,,,,2025-07-15 00:50:03 -0400,1,Dwellings of Eldervale - Minotaur Mercenary Mini Expansion,9.99,BGZ115360,0,,,,,,,,,Breaking Games,,
#44013169115183,customer_068@example.com,68,Customer 068,,,,,,,,,,,,2025-07-15 00:50:03 -0400,1,Dwellings of Eldervale - Shapeshifter Mercenary Mini Expansion,9.99,BGZ115834,0,,,,,,,,,Breaking Games,,
#44013169115183,customer_068@example.com,68,Customer 068,,,,,,,,,,,,2025-07-15 00:50:03 -0400,1,Dwellings of Eldervale - Oracle Hex Tile,6.99,BGZ115833,0,,,,,,,,,Breaking Games,,
#44012035047471,customer_069@example.com,69,Customer 069,,unfulfilled,yes,USD,50.0,49.82,0.0,99.82,,0.0,FedEx International Connect Plus®,2025-07-14 15:06:02 -0400,1,Klask (First Edition),50.0,BGZ110033,0,Fgura,,MT,Fgura,,MT,,,Breaking Games,Low,web
#44010288218159,customer_070@example.com,70,Customer 070,,unfulfilled,yes,USD,64.97,38.2,0.0,103.17,,0.0,FedEx International Connect Plus®,2025-07-13 22:29:38 -0400,1,Rise of Tribes: The Vul'Keth Invasion Expansion (Base Game Required),12.99,BGZ111558,0,Mendoza,M,AR,Ciudad de Mendoza,M,AR,,,Breaking Games,Low,web
#44010288218159,customer_070@example.com,70,Customer 070,,,,,,,,,,,,2025-07-13 22:29:38 -0400,1,Rise of Tribes: Beast and Bronze Expansion (Base Game Required),25.0,BGZ111557,0,,,,,,,,,Breaking Games,,
#44010288218159,customer_070@example.com,70,Customer 070,,,,,,,,,,,,2025-07-13 22:29:38 -0400,1,Dwellings of Eldervale - Oracle Hex Tile,6.99,BGZ115833,0,,,,,,,,,Breaking Games,,
#44010288218159,customer_070@example.com,70,Customer 070,,,,,,,,,,,,2025-07-13 22:29:38 -0400,1,Dwellings of Eldervale - Wooden Upgrade Treasure and Trove Tokens,19.99,BGZ115354,0,,,,,,,,,Breaking Games,,
#44009584197679,customer_071@example.com,71,Customer 071,,unfulfilled,yes,USD,360.0,0.0,0.0,360.0,,0.0,Standard,2025-07-13 16:28:03 -0400,6,We're Doomed!,35.0,BGZ110345,0,Bloomington,IL,US,Bloomington,IL,US,,,Breaking Games,Low,web
#44009584197679,customer_071@example.com,71,Customer 071,,,,,,,,,,,,2025-07-13 16:28:03 -0400,6,Mansplaining | Family Party Card Game | 2+ Players,25.0,BGZ116250,0,,,,,,,,,Breaking Games,,
